title,link,author,pubDate,description,isbn,isbn13,itemId,priceSales,priceStandard,mallType,stockStatus,mileage,cover,categoryId,categoryName,publisher,salesPoint,adult,fixedPrice,customerReviewRank,bestRank,subInfo,seriesInfo
퐁 카페의 마음 배달 고양이,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=338999287&amp;partner=openAPI&amp;start=api,"시메노 나기 (지은이), 박정임 (옮긴이)",2024-05-10,"사랑하는 존재를 떠나보낸 이들에게 “만남”이라는 꿈결 같은 기적을 선물하는 이야기가 찾아왔다. 일본 힐링 소설 분야 베스트셀러 작가로 떠오르는 시메노 나기의 『퐁 카페의 마음 배달 고양이』는 저승과 이승을 잇는 특별한 카페를 배경으로, 19년의 묘생을 마친 후타가 가슴 아픈 이별을 경험한 사람들의 소원을 이루어주는 과정을 그린다.",K432930827,9791130651682,338999287,15300,17000,BOOK,,850,https://image.aladin.co.kr/product/33899/92/coversum/k432930827_1.jpg,51120,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설,놀,13690,False,True,10,11,{},
삼체 1~3 세트 - 전3권,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=243943792&amp;partner=openAPI&amp;start=api,"류츠신 (지은이), 이현아, 허유영 (옮긴이)",2020-07-06,아시아 최초로 휴고상을 수상하며 SF 거장으로 등극한 류츠신의 『삼체』의 개정 양장본 세트. 『1부―삼체문제』 『2부―암흑의 숲』 『3부―사신의 영생』으로 이어지는 ‘지구의 과거’ 3부작은 무수한 위험이 숨어 있는 ‘암흑의 숲’과 같은 우주에서 인류가 마주하게 될 운명을 대담한 상상력으로 그려냈다.,8954442684,9788954442688,243943792,60300,67000,BOOK,,3350,https://image.aladin.co.kr/product/24394/37/coversum/8954442684_3.jpg,89481,국내도서>소설/시/희곡>과학소설(SF)>외국 과학소설,자음과모음,64330,False,True,9,12,{},
2024 제15회 젊은작가상 수상작품집,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337111317&amp;partner=openAPI&amp;start=api,"김멜라, 공현진, 김기태, 김남숙, 김지연, 성해나, 전지영 (지은이)",2024-03-31,2010년 제정된 이래 해를 거듭하며 독자들의 뜨거운 사랑을 받고 있는 젊은작가상이 어느덧 15회를 맞았다. 저만의 문제의식과 치열한 언어로 문학의 지평을 넓혀온 데뷔 십 년 이하 작가들의 눈부신 발돋움을 조명하고자 마련된 젊은작가상은 지난해까지 모두 62명에 이르는 새로운 얼굴을 소개하며 한국문학에 생기를 더했다.,8954638740,9788954638746,337111317,6930,7700,BOOK,,380,https://image.aladin.co.kr/product/33711/13/coversum/8954638740_1.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,문학동네,79665,False,True,8,13,{},
내 이름은 데몬 코퍼헤드,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=336982163&amp;partner=openAPI&amp;start=api,"바버라 킹솔버 (지은이), 강동혁 (옮긴이)",2024-04-29,미국 생태주의 문학을 대표하며 국가 인문학 훈장을 수훈한 바버라 킹솔버의 최신작 장편소설이자 대표작으로 자리매김한 《내 이름은 데몬 코퍼헤드》는 175년 전 출간된 찰스 디킨스의 자전적 소설 《데이비드 코퍼필드》를 현대 독자의 감성에 맞추어 다시 쓰기 한 작품이다.,K112939149,9791167371683,336982163,22500,25000,BOOK,,1250,https://image.aladin.co.kr/product/33698/21/coversum/k112939149_2.jpg,50919,국내도서>소설/시/희곡>영미소설,은행나무,18950,False,True,9,14,{},
두 사람의 인터내셔널,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=338990710&amp;partner=openAPI&amp;start=api,김기태 (지은이),2024-05-15,"2022년 동아일보 신춘문예에서 “근래 보기 드문 강력하고 단단한 작품”, “처음부터 끝까지 단숨에 읽히게 만드는 흡인력이 돋보인다”는 평을 받으며 데뷔한 김기태의 첫 소설집 『두 사람의 인터내셔널』이 출간되었다.",8954697941,9788954697941,338990710,15120,16800,BOOK,,840,https://image.aladin.co.kr/product/33899/7/coversum/8954697941_1.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,문학동네,36640,False,True,10,15,{},
맡겨진 소녀,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=315552626&amp;partner=openAPI&amp;start=api,"클레어 키건 (지은이), 허진 (옮긴이)",2023-04-26,"2009년 데이비 번스 문학상을 수상한 작품으로, 애정 없는 부모로부터 낯선 친척 집에 맡겨진 한 소녀의 이야기를 그린다. 이 책을 원작으로 하는 영화 「말없는 소녀」 또한 세계 관객들의 열렬한 호평을 받으며 올해 5월 31일 국내 개봉을 앞두고 있다.",K832832758,9791130698199,315552626,11700,13000,BOOK,,650,https://image.aladin.co.kr/product/31555/26/coversum/k832832758_1.jpg,52652,국내도서>소설/시/희곡>세계의 소설>아일랜드소설,다산책방,106653,False,True,9,16,{},
철도원 삼대,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=240581875&amp;partner=openAPI&amp;start=api,황석영 (지은이),2020-06-01,세계적인 거장 황석영이 장편소설 &lt;철도원 삼대&gt;로 한반도 백년의 역사를 꿰뚫는다. 구상부터 집필까지 30년의 세월이 걸린 이 역작은 철도원 가족을 둘러싼 방대한 서사를 통해 일제시대부터 현재까지 이어지는 노동자의 삶을 실감나게 다루며 대한민국 근현대사를 문학적으로 탁월하게 구현해냈다.,8936434438,9788936434434,240581875,18000,20000,BOOK,,1000,https://image.aladin.co.kr/product/24058/18/coversum/8936434438_3.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,창비,32352,False,True,9,17,{},
삼체 1부 : 삼체문제,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=289126579&amp;partner=openAPI&amp;start=api,"류츠신 (지은이), 이현아 (옮긴이)",2022-02-15,아시아 최초로 휴고상을 수상하며 SF 거장으로 등극한 류츠신의 대표작. 『1부―삼체문제』 『2부―암흑의 숲』 『3부―사신의 영생』으로 이어지는 ‘지구의 과거’ 3부작은 무수한 위험이 숨어 있는 ‘암흑의 숲’과 같은 우주에서 인류가 마주하게 될 운명을 대담한 상상력으로 그려냈다.,8954442692,9788954442695,289126579,15300,17000,BOOK,,850,https://image.aladin.co.kr/product/28912/65/coversum/s772939656_2.jpg,89481,국내도서>소설/시/희곡>과학소설(SF)>외국 과학소설,자음과모음,35675,False,True,9,18,{},
인성에 비해 잘 풀린 사람 - 월급사실주의 2024,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=338559095&amp;partner=openAPI&amp;start=api,"남궁인, 손원평, 이정연, 임현석, 정아은, 천현우, 최유안, 한은형 (지은이)",2024-05-01,"동시대 한국사회에서 먹고살기 위해 일하는 보통 사람들의 삶에 대해, 발품을 팔아 사실적으로 쓴다는 규칙을 공유하며 결성된 ‘월급사실주의’ 동인의 단편소설 앤솔러지 『인성에 비해 잘 풀린 사람─월급사실주의 2024』가 출간되었다.",K152930309,9791141600143,338559095,15120,16800,BOOK,,840,https://image.aladin.co.kr/product/33855/90/coversum/k152930309_1.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,문학동네,13140,False,True,10,19,{},
구의 증명,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=315614621&amp;partner=openAPI&amp;start=api,최진영 (지은이),2023-04-26,사랑하는 연인의 갑작스러운 죽음 이후 겪게 되는 상실과 애도의 과정을 통해 삶의 의미 혹은 죽음의 의미를 되묻는 소설이다. 이 작품에서 최진영은 퇴색하지 않는 사랑의 가치를 전면에 내세우고 아름다운 문장과 감성적이며 애절한 감수성을 통해 젊고 아름다운 남녀의 열정적인 사랑과 냉정한 죽음에 대해 세련된 감성과 탁월한 문체로 담아내고 있다.,K782832854,9791167372864,315614621,10800,12000,BOOK,,600,https://image.aladin.co.kr/product/31561/46/coversum/k782832854_1.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,은행나무,62000,False,True,8,20,{},"{'seriesId': 79814, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=79814&amp;partner=openAPI', 'seriesName': '은행나무 시리즈 N°(노벨라) 7'}"
리버보이 - 전면개정판,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339337836&amp;partner=openAPI&amp;start=api,"팀 보울러 (지은이), 정해영 (옮긴이)",2024-05-10,출간 당시 『해리포터』를 제치고 만장일치로 카네기 메달을 수상한 성장소설의 정수 『리버보이』가 국내에 소개된 지 어느덧 17년의 시간이 흘렀다. 죽음을 앞둔 할아버지와 열다섯 살 손녀 제스의 가슴 먹먹한 이별 여행의 감동을 잊지 못한 첫 독자들은 이제 자신의 자녀들과 함께 『리버보이』를 다시 읽는다.,K282930134,9791130671024,339337836,13500,15000,BOOK,,750,https://image.aladin.co.kr/product/33933/78/coversum/k282930134_1.jpg,50759,국내도서>청소년>청소년 문학>청소년 소설,다산책방,27650,False,True,10,21,{},"{'seriesId': 1028849, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=1028849&amp;partner=openAPI', 'seriesName': '다산책방 청소년문학 1'}"
바다가 들리는 편의점 3,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339004674&amp;partner=openAPI&amp;start=api,"마치다 소노코 (지은이), 황국영 (옮긴이)",2024-05-10,"감동 힐링 분야의 화제 시리즈, ‘바다가 들리는 편의점’이 더욱 흥미진진한 에피소드, 더 매력적인 등장인물들과 함께 3권으로 돌아왔다. ‘바다가 들리는 편의점’은 개성 넘치는 만화적 캐릭터들과 평범한 이웃과도 같은 인물들이 서로의 사연에 공감하며 손을 내밀고 맞잡는 과정을 통해 독자들에게 따뜻한 위로를 안겨 주는 힐링 소설이다.",K942930928,9791193358849,339004674,13950,15500,BOOK,,770,https://image.aladin.co.kr/product/33900/46/coversum/k942930928_2.jpg,50998,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,모모,11070,False,True,10,22,{},"{'seriesId': 1131038, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=1131038&amp;partner=openAPI', 'seriesName': '바다가 들리는 편의점 3'}"
사랑이 죽었는지 가서 보고 오렴,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337664472&amp;partner=openAPI&amp;start=api,박연준 (지은이),2024-04-15,"2004년 중앙신인문학상에 당선되어 등단한 이후 시와 산문, 소설 등 장르를 넘나들며 독자들의 아낌없는 사랑을 받아온 박연준 시인의 다섯번째 시집. 이번 시집에서는 보다 더 ‘작은 것’에 집중한 화자를 만날 수 있다.",8954699448,9788954699440,337664472,10800,12000,BOOK,,600,https://image.aladin.co.kr/product/33766/44/coversum/8954699448_1.jpg,51167,국내도서>소설/시/희곡>시>한국시,문학동네,25085,False,True,10,23,{},"{'seriesId': 21977, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=21977&amp;partner=openAPI', 'seriesName': '문학동네 시인선 209'}"
I의 비극,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=336431851&amp;partner=openAPI&amp;start=api,"요네자와 호노부 (지은이), 문승준 (옮긴이)",2024-04-25,"
모든 주민이 고령으로 사망하거나 요양 센터로 떠나고, 마지막 남은 주민까지 자살을 시도한 후 6년 동안 아무도 살지 않게 된 유령 마을 ‘미노이시’를 배경으로 이야기는 시작된다. 새롭게 취임한 시장은 타 지역에서 이사 오는 주민을 지원하자는 취지의 ‘I턴 프로젝트’를 시작하는데...",K582939311,9791191803242,336431851,16200,18000,BOOK,,900,https://image.aladin.co.kr/product/33643/18/coversum/k582939311_1.jpg,51058,국내도서>소설/시/희곡>추리/미스터리소설>일본 추리/미스터리소설,내친구의서재,20930,False,True,10,24,{},
파과 (리커버),http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337280601&amp;partner=openAPI&amp;start=api,구병모 (지은이),2018-04-16,한국 소설에 가장 강렬하게 새겨질 새로운 여성 서사를 탄생시킨 구병모 작가의 《파과》가 새 옷을 갈아입었다. 40여 년간 날카롭고 냉혹하게 청부 살인을 업으로 삼아온 60대 여성 킬러 ‘조각(爪角)’. 몸도 기억도 예전 같지 않게 삐걱거리기 시작하면서 이제는 퇴물 취급을 받는다.,K262939544,9791162203620,337280601,14220,15800,BOOK,,790,https://image.aladin.co.kr/product/33728/6/coversum/k262939544_2.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,위즈덤하우스,42986,False,True,9,25,{},
나쓰메 소세키 기담집 - 기이하고 아름다운 열세 가지 이야기,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337077983&amp;partner=openAPI&amp;start=api,"나쓰메 소세키 (지은이), 히가시 마사오 (엮은이), 김소운 (옮긴이)",2024-04-26,"기담의 사전적 정의는 ‘이상야릇하고 재밌는 이야기’다. ‘이상야릇’한 것은 무엇일까. 우리는 뭔가 평범치 않고 묘한 것, 또는 낯설거나 독특한 일들을 마주할 때 ‘이상야릇하다’고 표현한다. 이러한 관점에서 볼 때 『나쓰메 소세키 기담집』의 이야기들은 ‘기담’의 정의와 제대로 맞물린다.",K962939343,9791169092203,337077983,16200,18000,BOOK,,900,https://image.aladin.co.kr/product/33707/79/coversum/s052930028_1.jpg,50996,국내도서>소설/시/희곡>일본소설>1950년대 이전 일본소설,글항아리,18865,False,True,9,26,{},
정오에서 가장 먼 시간,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339488780&amp;partner=openAPI&amp;start=api,도종환 (지은이),2024-05-10,"한국시단을 대표하는 서정시인으로서 2024년 올해 등단 40주년을 맞이한 도종환의 열두번째 시집 『정오에서 가장 먼 시간』이 창비시선 501번으로 출간되었다. 세월호 참사의 아픔을 보듬는 “격렬한 희망”(박성우, 추천사)의 시로 먹먹한 감동을 선사한 『사월 바다』(창비 2016) 이후 8년 만에 펴내는 뜻깊은 시집이다.",8936425013,9788936425012,339488780,9900,11000,BOOK,,550,https://image.aladin.co.kr/product/33948/87/coversum/8936425013_1.jpg,51167,국내도서>소설/시/희곡>시>한국시,창비,8080,False,True,9,29,{},"{'seriesId': 5426, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=5426&amp;partner=openAPI', 'seriesName': '창비시선 501'}"
데미안 (오리지널 초판본 표지디자인) - 최신 원전 완역본,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=98710881&amp;partner=openAPI&amp;start=api,"헤르만 헤세 (지은이), 이미영 (옮긴이), 김선형 (해설)",2017-01-01,헤르만 헤세의 ‘영혼의 전기’로 소개되는 《데미안》은 깊이 있는 정신분석과 자기 탐구로 가시밭 같은 자아 성찰의 길을 섬세하게 그려낸 그의 대표작이다. 이 책을 1919년 오리지널 초판본의 우아한 표지로 다시 만나보자.,K042535550,9791187011590,98710881,2970,3300,BOOK,,160,https://image.aladin.co.kr/product/9871/8/coversum/k042535550_2.jpg,50922,국내도서>소설/시/희곡>독일소설,코너스톤,76965,False,True,10,30,{},"{'seriesId': 1077972, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=1077972&amp;partner=openAPI', 'seriesName': '코너스톤 착한 고전 시리즈 1'}"
이건 다만 사랑의 습관,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=336956202&amp;partner=openAPI&amp;start=api,"안희연, 황인찬 (엮은이)",2024-03-29,1975년 첫 발간부터 지금까지 한국문학의 최첨단에서 평단의 주목과 대중의 호응을 동시에 받아온 창비시선이 500번을 맞아 기념시선집 『이건 다만 사랑의 습관』을 출간했다.,8936402943,9788936402945,336956202,9900,11000,BOOK,,550,https://image.aladin.co.kr/product/33695/62/coversum/8936402943_1.jpg,51167,국내도서>소설/시/희곡>시>한국시,창비,29550,False,True,10,31,{},"{'seriesId': 5426, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=5426&amp;partner=openAPI', 'seriesName': '창비시선 500'}"
아주 희미한 빛으로도,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=321294005&amp;partner=openAPI&amp;start=api,최은영 (지은이),2023-08-07,"‘함께 성장해나가는 우리 세대의 소설가’를 갖는 드문 경험을 선사하며 동료 작가와 평론가, 독자 모두에게 특별한 이름으로 자리매김한 최은영의 세번째 소설집. 이번 소설집은 이전 작품들에 담긴 문제의식을 한층 더 깊고 날카로운 시선으로 이어나간다.",8954695051,9788954695053,321294005,15120,16800,BOOK,,840,https://image.aladin.co.kr/product/32129/40/coversum/s672937436_1.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,문학동네,90389,False,True,9,32,{},
